Mouse,Slice,Soma_Area_microns2,Soma_MajorAxisLength_microns,Roundness,Object_Number,NumberBranchEnds,NumberNonTrunkBranches,NumberTrunks,TotalObjectSkeletonLength_microns,AverageBranchLength_microns,Virus
169-5-4,slice1,60.7257,14.33384114,0.376320151,34,7,2,5,51.10974316,7.30139188,Cyr61
169-5-4,slice1,56.2716,9.025423413,0.879557451,35,4,1,5,5.576833386,0.929472231,Cyr61
169-5-4,slice1,51.9057,9.625278332,0.713343285,36,11,7,4,52.21069759,4.746427053,Cyr61
169-5-4,slice1,45.4671,9.378911328,0.658116097,37,4,0,4,21.30828811,5.327072027,Cyr61
169-5-4,slice1,41.1012,9.26279283,0.609931016,38,3,0,3,4.598894014,1.532964671,Cyr61
169-5-4,slice1,65.1798,12.45541627,0.534941941,39,6,4,2,24.91431851,4.152386419,Cyr61
169-5-4,slice1,54.1107,8.723478405,0.905344547,40,7,4,5,21.27843958,2.364271064,Cyr61
169-5-4,slice1,52.6995,8.955616499,0.836614983,41,5,1,4,15.30271238,3.060542476,Cyr61
169-5-4,slice1,68.7078,12.85525302,0.52936461,42,14,9,7,53.41974316,3.338733947,Cyr61
169-5-4,slice1,93.0951,17.32358424,0.394967569,43,7,5,4,33.14909126,3.683232362,Cyr61
169-5-4,slice1,35.5446,7.798198136,0.744209516,44,4,1,5,7.60477282,1.267462137,Cyr61
169-5-4,slice1,51.2001,9.937688552,0.660100656,45,13,12,3,62.77039482,4.184692988,Cyr61
169-5-4,slice1,77.6601,10.78642639,0.849870777,46,13,10,5,89.21184961,5.947456641,Cyr61
169-5-4,slice1,63.1071,9.769972807,0.841785871,47,31,28,7,168.3349567,4.80957019,Cyr61
169-5-4,slice1,62.2251,12.20695908,0.531692757,48,12,9,7,47.78577331,2.986610832,Cyr61
169-5-4,slice1,38.1465,10.24312145,0.462913847,49,5,4,5,22.43653062,2.492947847,Cyr61
169-5-4,slice1,67.0761,12.1689361,0.57673021,50,11,5,6,30.40416692,2.764015174,Cyr61
169-5-4,slice1,56.448,12.31254141,0.474092701,51,7,5,4,42.73703084,4.748558982,Cyr61
169-5-4,slice1,59.4468,10.67411958,0.664315633,52,10,7,3,42.17909147,4.217909147,Cyr61
169-5-4,slice1,60.9903,10.16229386,0.751947276,53,23,18,5,126.8007896,5.513077807,Cyr61
169-5-4,slice1,58.6971,12.28180057,0.49545325,54,9,7,5,48.00195534,4.000162945,Cyr61
169-5-4,slice1,74.0439,16.99491335,0.326408527,55,15,9,6,84.96345554,5.664230369,Cyr61
169-5-4,slice1,51.7293,10.41768517,0.606882009,56,4,2,4,23.37843984,3.89640664,Cyr61
169-5-4,slice1,71.6625,11.96304611,0.637556268,57,30,29,9,156.8060626,4.126475331,Cyr61
169-5-4,slice1,59.1822,11.74463762,0.546288404,58,9,5,7,26.92733379,2.243944483,Cyr61
169-5-4,slice1,36.162,9.866130873,0.47300836,59,1,0,2,2.534924265,1.267462133,Cyr61
169-5-4,slice1,54.5958,11.01600279,0.572824096,60,42,47,6,291.5147917,5.500279088,Cyr61
169-5-4,slice1,57.8592,13.12586277,0.427589295,61,26,19,7,124.743002,4.797807768,Cyr61
169-5-4,slice1,91.8162,14.69380751,0.54145297,62,25,18,9,130.0676231,4.817319375,Cyr61
169-5-4,slice1,54.3753,10.61297987,0.614663046,63,14,12,6,118.4193351,6.578851952,Cyr61
169-5-4,slice1,45.1143,8.69527417,0.759727385,64,17,14,5,97.64169847,5.139036761,Cyr61
169-5-4,slice1,81.8055,13.63665225,0.560114855,65,22,16,8,135.6779263,5.653246928,Cyr61
169-5-4,slice1,54.9486,8.780308713,0.907501139,66,28,27,9,170.2486235,4.729128431,Cyr61
169-5-4,slice1,70.1631,10.65754584,0.786510399,67,17,13,4,88.53963759,5.208213976,Cyr61
169-5-4,slice1,76.4694,13.11659522,0.565920685,68,26,20,7,129.7047593,4.803879975,Cyr61
169-5-4,slice1,49.6125,11.31202992,0.493651135,69,4,2,4,15.45557594,2.575929324,Cyr61
169-5-4,slice1,68.0463,11.38878207,0.667974785,70,14,7,7,69.69421315,4.978158082,Cyr61
169-5-4,slice1,43.659,8.660733234,0.741096188,71,9,5,6,38.89115209,3.53555928,Cyr61
169-5-4,slice1,72.8973,12.22559581,0.62098555,72,13,9,4,75.35803132,5.79677164,Cyr61
169-5-4,slice1,50.4504,10.13075707,0.625879792,73,18,14,6,115.4520473,5.772602364,Cyr61
169-5-4,slice1,79.5564,17.25980456,0.340027071,74,28,25,7,127.4668197,3.983338115,Cyr61
169-5-4,slice1,59.0058,9.483755853,0.835303096,75,6,3,5,25.20256092,3.150320115,Cyr61
169-5-4,slice1,49.4802,10.73927832,0.546249899,76,4,1,3,12.74668192,3.186670479,Cyr61
169-5-4,slice1,63.1953,12.13060302,0.546802029,77,3,1,4,20.07557607,4.015115214,Cyr61
169-5-4,slice1,106.0605,17.50656237,0.4406178,78,18,8,10,59.38054631,3.298919239,Cyr61
169-5-4,slice1,47.7603,11.04870313,0.498143601,79,8,8,4,47.73481886,3.977901571,Cyr61
169-5-4,slice1,58.653,9.272096894,0.868649205,80,5,3,2,33.32924284,6.665848568,Cyr61
169-5-4,slice1,72.8091,12.10642397,0.632505088,81,21,13,8,76.61803148,3.64847769,Cyr61
169-5-4,slice1,47.2311,8.127404938,0.910404471,82,1,0,1,1.433969711,1.433969711,Cyr61
169-5-4,slice1,43.1739,8.58845756,0.7452484,83,15,12,5,53.71054616,3.159443892,Cyr61
169-5-4,slice1,44.2323,7.973578937,0.88581503,84,3,0,3,1.556984868,0.518994956,Cyr61
169-5-4,slice1,52.5672,12.38000917,0.436699838,85,12,6,6,35.82813684,2.98567807,Cyr61
169-5-4,slice1,61.3872,12.08861774,0.534853269,86,6,3,3,25.17527315,4.195878859,Cyr61
169-5-4,slice1,93.0951,14.22860164,0.585480588,87,41,41,10,219.2558062,4.299133454,Cyr61
169-5-4,slice1,57.9033,11.24508958,0.58302556,88,30,29,9,164.9240021,4.340105318,Cyr61
169-5-4,slice1,71.9712,16.25464536,0.346827771,89,8,5,5,47.59687942,4.759687942,Cyr61
169-5-4,slice1,68.5755,9.899425977,0.890961784,90,20,20,5,113.6701381,4.546805525,Cyr61
169-5-4,slice1,60.3729,9.807490702,0.799164799,91,13,8,5,80.85406183,6.219543218,Cyr61
169-5-4,slice1,51.8616,8.833317839,0.846268771,92,25,22,9,152.750184,4.927425289,Cyr61
169-5-4,slice1,55.3014,11.29437427,0.55197816,93,19,15,10,82.38375862,3.295350345,Cyr61
169-5-4,slice1,53.0523,10.85281,0.573495396,94,8,3,5,21.94447004,2.743058755,Cyr61
169-5-4,slice1,40.7925,9.44135373,0.582668986,95,1,0,1,1.730954579,1.730954579,Cyr61
169-5-4,slice1,62.2692,10.96975262,0.658854834,96,20,13,9,98.30772903,4.468533138,Cyr61
169-5-4,slice1,63.6804,10.19156307,0.780610356,97,28,22,9,121.0412439,3.904556254,Cyr61
169-5-4,slice2,86.2596,16.51071561,0.402889329,1,11,8,3,79.81024355,7.255476687,Cyr61
169-5-4,slice2,53.0964,8.725713104,0.887918973,2,2,1,1,8.639848643,4.319924321,Cyr61
169-5-4,slice2,73.2501,11.23904448,0.738345378,3,13,8,6,87.31310744,6.236650532,Cyr61
169-5-4,slice2,88.8174,15.67884481,0.460023535,4,10,6,4,61.85833408,6.185833408,Cyr61
169-5-4,slice2,53.2287,9.393353768,0.768094439,5,3,0,3,5.576833361,1.858944454,Cyr61
169-5-4,slice2,41.3658,8.280081139,0.768214254,6,4,4,2,24.39240952,4.065401586,Cyr61
169-5-4,slice2,62.7102,11.67310239,0.585970449,7,3,0,4,9.26984858,2.317462145,Cyr61
169-5-4,slice2,68.796,14.36394651,0.424546972,8,6,2,4,17.03366692,2.838944487,Cyr61
169-5-4,slice2,74.4408,12.16613906,0.640347323,9,0,0,0,0,0,Cyr61
169-5-4,slice2,71.0451,11.53516109,0.67982467,10,3,0,3,3.164924265,1.054974755,Cyr61
169-5-4,slice2,63.1071,12.69268219,0.498748417,11,7,2,5,43.22909144,6.175584492,Cyr61
169-5-4,slice2,47.4957,10.37731479,0.561557756,12,7,3,4,17.99050025,2.570071464,Cyr61
169-5-4,slice2,47.6721,8.645214136,0.812125023,13,8,5,3,33.959243,4.244905375,Cyr61
169-5-4,slice2,93.1833,18.38122908,0.351155205,14,7,3,5,22.13954573,2.767443216,Cyr61
169-5-4,slice2,52.3026,10.19085211,0.641227883,15,4,0,4,24.10160637,6.025401592,Cyr61
169-5-4,slice2,46.5255,9.874561751,0.607526893,16,11,7,4,47.81306113,4.346641921,Cyr61
169-5-4,slice2,54.5076,10.53357855,0.625482701,17,5,2,5,15.05668203,2.150954576,Cyr61
169-5-4,slice2,52.8759,9.331548392,0.773144136,18,0,0,0,0,0,Cyr61
169-5-4,slice2,64.4742,12.2274099,0.54906927,19,2,1,1,2.867939422,1.433969711,Cyr61
169-5-4,slice2,62.8425,9.758642154,0.840204081,20,5,2,3,9.965727412,1.993145482,Cyr61
169-5-4,slice2,67.4289,12.58251841,0.542276825,21,9,4,5,42.57798542,4.730887269,Cyr61
169-5-4,slice2,74.6172,12.50715661,0.607340008,22,6,2,4,13.34065161,2.223441936,Cyr61
169-5-4,slice2,46.3491,10.14495704,0.573391168,23,2,0,2,4.931909183,2.465954592,Cyr61
169-5-4,slice2,63.063,11.95618729,0.561693407,24,7,2,5,14.93366693,2.133380991,Cyr61
169-5-4,slice2,66.6351,14.91984506,0.381140015,25,8,2,6,20.30050021,2.537562526,Cyr61
169-5-4,slice2,75.5874,11.34636823,0.747559523,26,15,8,7,69.68547096,4.645698064,Cyr61
169-5-4,slice2,48.1572,8.818957196,0.788382321,27,13,9,6,67.50722815,4.500481876,Cyr61
169-5-4,slice2,52.6554,10.99360326,0.554718838,28,7,3,5,33.08321261,4.135401577,Cyr61
169-5-4,slice2,53.3169,11.2780624,0.533710838,29,3,1,2,25.03733368,8.345777894,Cyr61
169-5-4,slice2,54.9486,8.573135051,0.951891437,30,3,0,3,7.328894026,2.442964675,Cyr61
169-5-4,slice2,42.2478,8.585878536,0.729700656,31,5,2,3,23.5163791,4.70327582,Cyr61
169-5-4,slice2,59.976,10.87818358,0.645319589,32,6,1,5,12.85477297,2.142462162,Cyr61
169-5-4,slice2,64.6506,13.12777507,0.477639708,33,8,6,4,59.45878882,5.945878882,Cyr61
169-5-4,slice2,59.6673,12.61257199,0.477572366,34,14,11,3,79.34547063,5.667533617,Cyr61
169-5-4,slice2,46.4373,11.510897,0.446229978,35,3,0,3,13.91969714,4.639899045,Cyr61
169-5-4,slice2,67.8258,11.84632853,0.61537167,36,5,3,2,11.3636668,2.272733359,Cyr61
169-5-4,slice2,52.9641,10.48601721,0.613296637,37,3,0,3,11.69668198,3.898893993,Cyr61
169-5-4,slice2,37.8819,7.467958539,0.864844595,38,2,0,2,3.548893989,1.774446994,Cyr61
169-5-4,slice2,53.8902,8.582132719,0.93159996,39,6,2,4,24.8422578,4.140376299,Cyr61
169-5-4,slice2,71.3538,10.47295359,0.828302299,40,12,8,4,83.44612239,6.953843532,Cyr61
169-5-4,slice2,58.9617,9.758108652,0.788403995,41,19,22,5,135.7587291,5.028101078,Cyr61
169-5-4,slice2,68.0022,10.13238331,0.843353905,42,16,11,7,62.11054631,3.450585906,Cyr61
169-5-4,slice2,36.0297,10.95237886,0.382431669,43,8,4,4,35.25527318,4.406909147,Cyr61
169-5-4,slice2,75.2787,11.49119046,0.725858862,44,7,6,3,43.72371258,4.858190287,Cyr61
169-5-4,slice2,32.5458,7.843222689,0.673621559,45,9,4,5,29.72939448,3.303266054,Cyr61
169-5-4,slice2,81.9378,15.31012321,0.445078941,46,8,8,4,53.15260678,4.429383899,Cyr61
169-5-4,slice2,43.7031,9.096752999,0.672433834,47,22,22,6,106.8394861,3.815695933,Cyr61
169-5-4,slice2,62.2251,12.37398348,0.51743602,48,48,49,9,268.6917308,4.632616049,Cyr61
169-5-4,slice2,62.5779,11.11517455,0.644909135,49,11,8,5,59.38672834,4.568209872,Cyr61
169-5-4,slice2,74.6613,13.06875829,0.55659207,50,0,0,0,0,0,Cyr61
169-5-4,slice2,69.678,15.82137946,0.354419086,51,16,8,8,65.55753129,4.097345705,Cyr61
169-5-4,slice2,39.8223,10.38312368,0.470305875,52,27,20,7,124.721896,4.619329481,Cyr61
169-5-4,slice2,62.5779,13.33566561,0.448024444,53,23,25,6,142.2414416,4.588433599,Cyr61
169-5-4,slice2,32.5899,6.852731903,0.883620257,54,6,4,2,43.49004614,7.248341023,Cyr61
169-5-4,slice2,40.3956,11.77192674,0.371149671,55,10,8,4,69.75753146,5.813127622,Cyr61
169-5-4,slice2,46.0404,9.695452586,0.623609946,56,0,0,0,0,0,Cyr61
169-5-4,slice2,48.2454,8.871320308,0.780529838,57,30,26,8,169.5589265,4.987027251,Cyr61
169-5-4,slice2,60.6375,10.43270614,0.70934491,58,18,13,5,109.9112439,6.106180215,Cyr61
169-5-4,slice2,55.9629,9.098544283,0.860729135,59,20,19,7,125.7569714,4.836806592,Cyr61
169-5-4,slice2,44.4087,9.93956258,0.572326208,60,3,1,2,21.35050027,7.116833423,Cyr61
169-5-4,slice2,76.734,17.55166082,0.317147667,61,10,6,6,45.27195534,3.772662945,Cyr61
169-5-4,slice2,64.2978,10.19638535,0.787433254,62,3,1,2,17.81653051,5.938843503,Cyr61
169-5-4,slice2,50.1417,11.70175205,0.466237702,63,7,4,3,25.3554246,3.622203514,Cyr61
169-5-4,slice2,60.3729,9.798769584,0.80058798,64,9,6,3,55.07245523,6.119161692,Cyr61
169-5-4,slice2,49.3038,8.83363453,0.804473341,65,13,8,5,90.35757684,6.950582833,Cyr61
169-5-4,slice2,59.6673,12.49297121,0.486760161,66,7,1,6,15.49160627,2.21308661,Cyr61
169-5-4,slice2,33.075,6.934538372,0.875739341,67,4,0,4,8.567788002,2.141947001,Cyr61
169-5-4,slice2,67.4289,12.9621555,0.510977456,68,3,1,2,10.24778804,3.415929347,Cyr61
169-5-4,slice2,45.864,9.545895295,0.640838676,69,5,2,4,19.72145481,3.286909135,Cyr61
169-5-4,slice2,52.479,9.265888592,0.778254286,70,0,0,0,0,0,Cyr61
169-5-4,slice2,45.2025,8.053356456,0.88739858,71,5,3,2,26.71733368,5.343466736,Cyr61
169-5-4,slice2,37.4409,7.794552326,0.784646505,72,6,1,5,12.5876365,2.097939416,Cyr61
169-5-4,slice2,73.1178,15.8368196,0.371190878,73,0,0,0,0,0,Cyr61
169-5-4,slice2,66.5028,11.82491464,0.605555594,74,7,4,7,29.61512146,2.692283769,Cyr61
169-5-4,slice2,71.3538,10.34527363,0.848874058,75,16,10,6,67.14436449,4.19652278,Cyr61
169-5-4,slice2,51.8616,9.598458449,0.716725822,76,12,9,5,65.1375312,4.6526808,Cyr61
169-5-4,slice2,48.6423,10.1314537,0.603365804,77,9,5,4,41.81004606,4.645560673,Cyr61
169-5-4,slice2,52.2144,9.620311078,0.718326982,78,5,3,2,51.26878858,10.25375772,Cyr61
169-5-4,slice2,43.6149,9.729599461,0.586617582,79,7,5,7,29.79527313,2.482939427,Cyr61
169-5-4,slice2,52.5231,10.45054955,0.612325312,80,7,3,6,29.14416708,3.238240787,Cyr61
169-5-4,slice2,34.7067,8.240369043,0.650773885,81,3,0,3,20.5614549,6.8538183,Cyr61
169-5-4,slice2,36.5589,10.24541145,0.443449766,82,3,1,2,15.03557604,5.011858681,Cyr61
169-5-4,slice2,84.7602,16.48166431,0.397282983,83,9,3,6,26.5582882,2.950920911,Cyr61
169-5-4,slice2,44.982,9.390246373,0.649523556,84,5,2,5,30.56939441,4.367056344,Cyr61
169-5-4,slice2,68.796,14.05867397,0.443184525,85,28,23,5,149.9095323,5.353911867,Cyr61
169-5-4,slice2,45.423,9.164110893,0.688660639,86,8,5,3,34.50225815,4.312782268,Cyr61
169-5-4,slice2,49.5243,12.37653072,0.411652366,87,7,4,5,42.12195519,4.680217244,Cyr61
169-5-4,slice2,48.4218,8.859678338,0.785443842,88,5,2,3,22.17557611,4.435115221,Cyr61
169-5-4,slice2,41.5863,8.12628556,0.801818813,89,11,5,6,31.96733383,2.906121257,Cyr61
169-5-4,slice2,43.3944,8.713341372,0.727736819,90,11,10,3,49.29180369,3.791677207,Cyr61
169-5-4,slice2,70.6041,13.02313719,0.5300402,91,8,3,5,47.74974291,5.968717864,Cyr61
169-5-4,slice2,33.6483,8.061171908,0.659290595,92,5,3,2,16.64969717,3.329939435,Cyr61
169-5-4,slice2,39.249,7.822778643,0.816613644,93,25,21,4,119.0282288,4.761129151,Cyr61
169-5-4,slice2,64.386,11.1243428,0.662449593,94,21,18,6,111.0121985,4.625508269,Cyr61
169-5-4,slice2,54.9927,8.708493258,0.923270845,95,15,11,4,70.43230396,4.69548693,Cyr61
169-5-4,slice2,43.0416,9.915700241,0.55738047,96,8,6,2,41.62115207,5.202644009,Cyr61
169-5-4,slice2,31.6638,7.77154573,0.667510864,97,5,2,3,23.5014549,4.70029098,Cyr61
169-5-6,slice1,65.4003,16.97724815,0.288905138,1,10,8,4,38.86386413,3.238655344,Cyr61
169-5-6,slice1,54.1107,11.28345559,0.541139235,2,3,1,2,11.69668194,3.89889398,Cyr61
169-5-6,slice1,61.299,9.942774569,0.789493071,3,12,8,6,65.34134942,4.667239244,Cyr61
169-5-6,slice1,53.8461,9.956840833,0.691546269,4,7,2,5,32.43210653,4.633158075,Cyr61
169-5-6,slice1,60.4611,11.00628236,0.635484354,5,22,18,7,137.4449113,5.497796451,Cyr61
169-5-6,slice1,49.3479,9.395637942,0.711747989,6,7,2,5,15.52145469,2.21735067,Cyr61
169-5-6,slice1,42.0273,9.539071726,0.588070481,7,5,2,3,10.52366673,2.104733347,Cyr61
169-5-6,slice1,56.007,9.093177015,0.862424604,8,21,18,5,133.2176233,5.792070578,Cyr61
169-5-6,slice1,61.74,12.14666776,0.532797819,9,36,36,6,198.9578667,4.737092065,Cyr61
169-5-6,slice1,121.4514,19.90235714,0.390394431,10,33,29,10,262.0489129,6.719202894,Cyr61
169-5-6,slice1,55.0368,9.874068247,0.718738724,11,17,10,7,65.8632585,3.874309323,Cyr61
169-5-6,slice1,55.4337,11.58735645,0.525672493,12,4,1,3,14.33969724,3.584924309,Cyr61
169-5-6,slice1,62.181,9.41462842,0.8932262,13,4,1,3,13.97065173,3.492662932,Cyr61
169-5-6,slice1,49.7448,9.650503465,0.680076653,14,5,7,2,21.56050025,2.395611138,Cyr61
169-5-6,slice1,53.8902,10.50691311,0.621540785,15,7,5,4,23.7114549,2.6346061,Cyr61
169-5-6,slice1,34.9713,8.808563408,0.573867626,16,17,16,5,96.44757701,4.592741762,Cyr61
169-5-6,slice1,75.7638,12.61049607,0.606607151,17,6,4,4,20.8074851,2.600935638,Cyr61
169-5-6,slice1,54.8604,10.77394008,0.601755372,18,3,2,3,29.18637916,5.837275833,Cyr61
169-5-6,slice1,63.063,17.08436873,0.275097645,19,4,1,4,12.81256074,2.562512147,Cyr61
169-5-6,slice1,52.1262,9.533763995,0.730192539,20,2,0,2,2.954924278,1.477462139,Cyr61
169-5-6,slice1,50.9796,9.641647636,0.698238885,21,3,0,3,9.07477282,3.024924273,Cyr61
169-5-6,slice1,51.6411,9.966786628,0.66190442,22,5,3,2,20.3365306,4.067306119,Cyr61
169-5-6,slice1,62.4015,10.29075189,0.750258514,23,9,7,2,63.96451608,7.107168453,Cyr61
169-5-6,slice1,57.1095,11.62585059,0.537983557,24,15,10,5,76.46516787,5.097677858,Cyr61
169-5-6,slice1,48.2895,9.986080366,0.616556263,25,4,1,3,21.71954575,5.429886438,Cyr61
169-5-6,slice1,39.4695,9.781931038,0.525197379,26,5,1,4,12.42859101,2.485718202,Cyr61
169-5-6,slice1,45.5994,9.384249401,0.659280399,27,17,11,6,88.16803146,5.186354792,Cyr61
169-5-6,slice1,66.1059,11.66360836,0.618706222,28,19,14,5,95.50566814,5.026614113,Cyr61
169-5-6,slice1,63.8127,13.55013045,0.442517334,29,8,5,5,47.8938644,4.78938644,Cyr61
169-5-6,slice1,70.8687,11.72031441,0.656880032,30,56,68,6,448.1767344,6.056442357,Cyr61
169-5-6,slice1,47.0547,11.58391189,0.446480645,31,8,5,3,40.40592497,5.050740621,Cyr61
169-5-6,slice1,69.7221,10.74752692,0.768534725,32,16,11,7,85.43803169,4.746557316,Cyr61
169-5-6,slice1,56.3157,10.85393684,0.608646355,33,12,9,3,57.99753109,4.833127591,Cyr61
169-5-6,slice1,42.6006,9.925208885,0.550613079,34,5,2,3,10.80572741,2.161145482,Cyr61
169-5-6,slice1,38.8962,9.058515677,0.603536045,35,10,6,6,39.27512168,3.272926807,Cyr61
169-5-6,slice1,62.4456,10.72275529,0.691511126,36,7,5,4,37.71813674,4.190904082,Cyr61
169-5-6,slice1,54.6399,9.175541898,0.826335801,37,15,12,5,82.2370771,4.837475124,Cyr61
169-5-6,slice1,67.9581,13.60706085,0.467328958,38,11,10,3,42.49100055,3.268538504,Cyr61
169-5-6,slice1,56.8008,13.8566636,0.376658024,39,6,2,4,28.16622759,4.694371266,Cyr61
169-5-6,slice1,36.3384,7.342250084,0.858257434,40,11,7,4,45.04084912,4.094622647,Cyr61
169-5-6,slice1,52.5672,9.035714296,0.819785029,41,11,9,6,47.79195502,3.186130335,Cyr61
169-5-6,slice1,43.6149,9.094539151,0.671403508,42,11,11,4,49.46577344,3.297718229,Cyr61
169-5-6,slice1,57.2418,17.21610553,0.245897191,43,7,3,6,34.6849703,3.853885589,Cyr61
169-5-6,slice1,64.4742,11.61762422,0.608221029,44,14,12,6,107.418532,5.967696224,Cyr61
169-5-6,slice1,58.6971,8.808219548,0.963275471,45,4,0,4,16.40366698,4.100916746,Cyr61
169-5-6,slice1,54.3753,9.600150748,0.751200173,46,26,27,5,147.8692293,4.620913415,Cyr61
169-5-6,slice1,40.8366,8.080279534,0.796355391,47,1,0,1,1.60793941,1.60793941,Cyr61
169-5-6,slice1,31.5756,7.210273213,0.7733183,48,2,0,2,2.483969711,1.241984856,Cyr61
169-5-6,slice1,39.5577,9.497141675,0.55841274,49,13,9,4,90.84089539,6.987761184,Cyr61
169-5-6,slice1,79.9092,14.8392436,0.46204404,50,8,5,6,30.35321249,2.759382953,Cyr61
169-5-6,slice1,51.4647,9.665708488,0.701378063,51,8,6,4,46.76306118,4.676306118,Cyr61
169-5-6,slice1,60.5052,10.29525638,0.726822708,52,18,17,8,121.3407894,4.853631577,Cyr61
169-5-6,slice1,60.8139,10.52528546,0.698948549,53,17,11,6,113.46888,6.674639999,Cyr61
169-5-6,slice1,46.7901,9.21880085,0.700995493,54,0,0,0,0,0,Cyr61
169-5-6,slice1,36.3384,7.180923482,0.897253832,55,0,0,0,0,0,Cyr61
169-5-6,slice1,69.5016,11.35056336,0.686862944,56,7,3,4,33.20622776,4.743746822,Cyr61
169-5-6,slice1,50.0976,8.577442663,0.866984618,57,13,7,6,67.10833442,5.162179571,Cyr61
169-5-6,slice1,50.7591,11.7405513,0.468864175,58,11,7,6,51.19672796,3.938209843,Cyr61
169-5-6,slice1,46.7019,10.4946589,0.539893393,59,0,0,0,0,0,Cyr61
169-5-6,slice1,48.2454,9.467268123,0.685356721,60,9,6,3,53.20974308,5.912193676,Cyr61
169-5-6,slice1,58.5207,11.5105516,0.562376752,61,8,5,3,30.44019746,3.805024682,Cyr61
169-5-6,slice1,35.0154,7.722765871,0.74752113,62,2,0,2,1.136984868,0.568492434,Cyr61
169-5-6,slice1,44.8938,9.968270548,0.575250299,63,3,0,5,8.270803172,1.654160634,Cyr61
169-5-6,slice1,53.2728,10.11533696,0.662910554,64,12,8,4,48.84813704,4.070678087,Cyr61
169-5-6,slice1,41.0571,8.910117862,0.658463174,65,15,13,4,62.36531884,3.668548167,Cyr61
169-5-6,slice1,64.7388,12.34294654,0.541049585,66,12,5,7,74.22722829,6.185602357,Cyr61
169-5-6,slice1,67.0761,10.44564791,0.782721306,67,6,4,4,27.07145491,3.383931864,Cyr61
169-5-6,slice1,55.6542,8.835231216,0.907762472,68,21,17,4,109.701244,5.223868762,Cyr61
